Posicao;Equipe;P;V;E;D;GP;GC;SG;Aprov.;VC;EC;DC;VF;EF;DF;GPC;GCC;GPF;GCF;RVV;A;2A;VE;VCS;ECS;DCS;JSSP;JSP;JSG;GS;GS.1-15;GS.16-30;GS.31-45;GS.46-60;GS.61-75;GS.76-90;GS.90;GS.91-105;GS.106-120;GS.120;G;GM.1-15;GM.16-30;GM.31-45;GM.46-60;GM.61-75;GM.76-90;GM.90;GM.91-105;GM.106-120;GM.120;PEN;PENF;PEND;Destino
1;Flamengo;90;28;6;4;86;37;49;78;17;2;0;11;4;4;56;18;30;19;6;90;2;1;8;1;1;24;0;1;37;4;5;8;6;6;5;3;0;0;0;86;11;3;23;13;16;15;5;0;0;0;6;2;2;Libertadores
2;Santos;74;22;8;8;60;33;27;64;14;4;1;8;4;7;44;15;16;18;2;108;6;4;7;1;2;8;1;0;33;3;4;6;9;4;3;4;0;0;0;60;13;6;11;10;11;8;1;0;0;0;5;2;1;Libertadores
3;Palmeiras;74;21;11;6;61;32;29;64;13;4;2;8;7;4;40;13;21;19;1;73;1;3;7;4;3;10;2;0;32;7;5;7;3;4;4;2;0;0;0;61;12;5;9;11;8;12;4;0;0;0;5;1;1;Libertadores
4;Gremio;65;19;8;11;64;39;25;57;12;3;4;7;5;7;38;18;26;21;2;81;1;1;5;3;2;7;0;1;39;8;3;12;6;3;4;3;0;0;0;64;10;6;14;7;11;11;5;0;0;0;7;2;0;Libertadores
5;Athletico Paranaense;64;18;10;10;51;32;19;56;12;3;4;6;7;6;26;11;25;21;3;82;1;0;4;1;2;13;13;1;32;8;2;8;1;1;9;3;0;0;0;51;3;6;10;10;8;9;5;0;0;0;3;1;2;Libertadores
6;Sao Paulo;63;17;12;9;39;30;9;55;10;6;3;7;6;6;23;12;16;18;1;86;2;4;5;4;2;9;2;0;30;4;1;10;6;4;4;1;0;0;0;39;7;3;7;10;3;6;3;0;0;0;3;1;0;Libertadores
7;Internacional;57;16;9;13;44;39;5;50;11;6;2;5;3;11;28;15;16;24;1;93;0;3;4;2;2;4;1;0;39;4;3;6;6;11;7;2;0;0;0;44;4;5;7;7;7;12;2;0;0;0;1;2;1;Sulamericana
8;Corinthians;56;14;14;10;42;34;8;49;11;2;6;4;6;9;25;13;17;21;2;69;0;1;3;2;2;10;0;1;34;1;5;10;6;6;4;2;0;0;0;42;4;6;8;6;7;8;3;0;0;0;0;0;0;Sulamericana
9;Fortaleza;53;15;8;15;50;49;1;46;11;3;5;4;4;11;26;17;24;32;2;86;5;1;2;1;2;7;7;0;49;10;4;8;4;11;10;2;0;0;0;50;9;5;11;8;10;6;1;0;0;0;8;1;1;Sulamericana
10;Goias;52;15;7;16;46;64;-18;45;10;7;2;4;7;8;31;23;15;41;2;87;3;4;4;2;3;4;1;0;64;5;11;13;10;8;11;6;0;0;0;46;7;5;9;2;7;8;8;0;0;0;0;0;0;Sulamericana
11;Bahia;49;12;13;13;44;43;1;42;9;2;8;4;2;13;24;18;20;25;3;68;4;2;3;2;3;9;0;2;43;7;4;6;8;8;8;2;0;0;0;44;2;7;9;4;8;12;2;0;0;0;9;1;1;Sulamericana
12;Vasco;49;12;13;13;39;45;-6;42;10;2;7;3;7;9;20;22;19;23;3;103;2;2;3;2;2;5;3;2;45;5;3;7;10;8;9;3;0;0;0;39;5;5;7;4;8;8;2;0;0;0;8;4;0;Sulamericana
13;Atletico Mineiro;48;13;9;16;45;49;-4;42;7;8;4;5;5;9;28;23;17;26;1;73;3;2;3;2;6;6;0;1;49;3;7;11;8;9;8;3;0;0;0;45;4;7;7;10;4;8;5;0;0;0;5;2;1;NA
14;Fluminense;46;12;10;16;38;46;-8;40;6;7;6;6;3;10;18;15;20;31;1;89;4;5;2;3;3;6;6;0;46;7;6;6;4;11;8;4;0;0;0;38;3;4;14;7;3;5;2;0;0;0;4;1;0;NA
15;Botafogo;43;13;4;21;31;45;-14;37;7;6;6;5;7;7;19;17;12;28;2;95;2;1;3;1;4;3;1;3;45;6;4;7;4;12;9;3;0;0;0;31;2;6;7;3;7;4;2;0;0;0;0;0;0;NA
16;Ceara;39;10;9;19;36;41;-5;34;8;6;5;2;3;14;23;14;13;27;2;86;1;1;2;2;3;3;1;7;41;1;7;13;4;3;8;5;0;0;0;36;3;6;7;2;4;10;4;0;0;0;3;3;0;NA
17;Cruzeiro;36;7;15;16;27;46;-19;31;6;5;8;2;3;14;13;17;14;29;0;89;5;1;2;4;5;11;0;9;46;5;5;8;6;8;10;4;0;0;0;27;4;1;6;6;5;3;2;0;0;0;4;1;2;Rebaixamento
18;CSA;32;8;8;22;24;58;-34;28;5;8;6;2;7;10;17;24;7;34;1;95;3;1;2;3;5;3;0;3;58;10;6;10;8;6;15;3;0;0;0;24;1;1;4;3;7;5;3;0;0;0;0;0;0;Rebaixamento
19;Chapecoense;32;7;11;20;31;52;-21;28;4;5;10;3;6;10;16;22;15;30;0;79;1;4;2;2;4;3;2;1;52;6;2;9;14;5;11;5;0;0;0;31;7;3;5;4;2;7;3;0;0;0;0;0;0;Rebaixamento
20;Avai;20;3;11;24;18;62;-44;17;1;9;9;2;2;15;10;24;8;38;0;78;2;8;2;2;8;2;1;18;62;8;7;12;8;9;14;4;0;0;0;18;1;4;2;4;1;4;2;0;0;0;4;1;0;Rebaixamento
