Posicao;Equipe;P;V;E;D;GP;GC;SG;VC;EC;DC;VF;EF;DF;GPC;GCC;GPF;GCF;RVV;A;2A;VE;VCS;ECS;DCS;JSSP;JSP;JSG;GS;GS.1-15;GS.16-30;GS.31-45;GS.46-60;GS.61-75;GS.76-90;GS.90;GS.91-105;GS.106-120;GS.120;GM.1-15;GM.16-30;GM.31-45;GM.46-60;GM.61-75;GM.76-90;GM.90;GM.91-105;GM.106-120;GM.120;PEN;PENF;PEND
1;Flamengo;71;21;8;9;68;48;20;11;4;4;10;4;5;35;23;33;25;5;88;0;3;4;2;2;8;0;1;48;9;5;7;12;5;6;4;0;0;0;9;5;14;18;7;9;6;0;0;0;7;3;0
2;Internacional;70;20;10;8;61;35;26;12;5;2;8;5;6;34;17;27;18;2;91;1;8;9;2;2;12;1;2;35;4;4;8;6;6;4;3;0;0;0;13;9;10;8;9;9;3;0;0;0;9;1;0
3;Atl‚tico Mineiro;68;20;8;10;64;45;19;14;4;1;6;4;9;41;13;23;32;4;64;1;2;4;2;2;4;4;0;45;5;9;7;8;4;9;3;0;0;0;8;9;11;12;11;7;6;0;0;0;8;5;0
4;S?o Paulo;66;18;12;8;59;41;18;10;7;2;8;5;6;29;16;30;25;5;90;0;2;4;4;2;17;1;0;41;6;9;7;8;6;3;2;0;0;0;7;7;10;8;12;8;7;0;0;0;6;1;3
5;Fluminense;64;18;10;10;55;42;13;11;5;3;7;5;7;31;14;24;28;5;85;1;3;3;2;2;9;9;0;42;8;4;7;6;5;8;4;0;0;0;7;7;9;8;10;7;7;0;0;0;6;1;0
6;Grˆmio;59;14;17;7;53;40;13;10;6;3;4;11;4;34;23;19;17;1;81;6;2;4;4;2;16;0;1;40;5;2;6;7;11;5;4;0;0;0;3;7;11;12;10;8;2;0;0;0;5;2;0
7;Palmeiras;58;15;13;10;51;37;14;9;8;2;6;5;8;33;16;18;21;1;91;1;4;4;3;4;12;0;4;37;4;3;8;7;4;6;5;0;0;0;4;10;13;7;9;4;4;0;0;0;5;2;0
8;Santos;54;14;12;12;52;51;1;9;7;3;5;5;9;35;23;17;28;1;84;2;3;2;3;3;9;0;2;51;5;5;12;11;8;6;4;0;0;0;10;8;8;6;8;10;2;0;0;0;11;2;0
9;Athletico Paranaense;53;15;8;15;38;36;2;9;5;5;6;3;10;20;13;18;23;1;81;1;2;4;2;4;5;1;0;36;4;5;8;6;6;5;2;0;0;0;5;5;10;1;7;7;3;0;0;0;0;1;3
10;Red Bull Bragantino;53;13;14;11;50;40;10;10;5;4;3;9;7;34;19;16;21;1;73;0;4;3;3;2;6;5;0;40;2;10;5;5;8;6;4;0;0;0;11;5;7;10;5;7;5;0;0;0;4;4;1
11;Cear ;52;14;10;14;54;51;3;7;5;7;7;5;7;22;25;32;26;2;93;4;2;3;2;2;6;2;0;51;9;8;8;4;7;8;7;0;0;0;6;7;8;14;6;7;6;0;0;0;6;1;0
12;Corinthians;51;13;12;13;45;45;0;8;7;4;5;5;9;29;23;16;22;2;85;2;6;4;3;2;7;2;5;45;8;1;13;7;10;4;2;0;0;0;6;11;7;6;5;4;6;0;0;0;4;1;0
13;Atl‚tico Goianiense;50;12;14;12;40;45;-5;6;9;4;6;5;8;24;21;16;24;4;81;1;4;3;3;3;4;2;0;45;3;5;7;7;14;3;6;0;0;0;5;3;10;4;8;8;2;0;0;0;0;0;0
14;Bahia;44;12;8;18;48;59;-11;9;2;8;3;6;10;27;26;21;33;2;84;1;5;3;2;7;4;4;0;59;9;10;10;10;10;7;3;0;0;0;3;6;11;5;8;9;6;0;0;0;5;3;1
15;Sport;42;12;6;20;31;50;-19;8;2;9;4;4;11;19;23;12;27;0;90;0;4;3;1;4;4;0;3;50;10;5;8;11;6;7;3;0;0;0;5;3;10;5;3;4;1;0;0;0;0;0;0
16;Fortaleza;41;10;11;17;34;44;-10;8;6;5;2;5;12;20;15;14;29;1;83;3;5;2;2;4;8;0;3;44;6;7;8;4;9;9;1;0;0;0;5;2;8;6;9;4;0;0;0;0;5;3;4
17;Vasco;41;10;11;17;37;56;-19;7;5;7;3;6;10;21;21;16;35;1;87;2;4;3;2;5;4;2;0;56;9;7;12;7;8;8;5;0;0;0;6;5;5;4;9;4;4;0;0;0;3;1;2
18;Goi s;37;9;10;19;41;63;-22;6;5;8;3;5;11;19;28;22;35;1;114;3;1;2;2;4;4;0;2;63;5;12;13;10;7;9;7;0;0;0;6;10;5;5;5;6;4;0;0;0;4;1;1
19;Coritiba;31;7;10;21;31;54;-23;4;6;9;3;4;12;13;19;18;35;1;87;4;4;2;3;4;5;0;2;54;8;7;14;6;9;9;1;0;0;0;7;3;5;3;6;4;3;0;0;0;5;1;3
20;Botafogo;27;5;12;21;32;62;-30;3;5;11;2;7;10;16;30;16;32;1;72;2;4;2;3;7;4;0;1;62;7;10;9;8;9;10;9;0;0;0;0;6;5;8;5;6;2;0;0;0;6;1;3
