Amaranthaceae	Anacardiaceae	Apiaceae	Araucaria.Angustifolia	Arecaceae	Asteraceae	Cecropia	Celtis	Clethra	Drimys.Brasiliensis	Euphorbiaceae	Fabaceae	Hedyosmum.	Ilex	Lamanonia.speciosa.type	Malpighiaceae	Melastomataceae.Combretaceae	Moraceae.Urticaceae	Myrsine	Myrtaceae	Piper	Poaceae	Podocarpus	Rubiaceae	Sapindaceae	Solanaceae	Symplocos	Trema.type	Weinmannia
0	0	2.996254682	0.374531835	0	12.35955056	0.374531835	1.498127341	0	0	0.374531835	6.741573034	0	2.996254682	0.374531835	0	3.370786517	1.498127341	2.996254682	15.35580524	0	29.96254682	0	0.374531835	0	0.374531835	0.74906367	0	16.47940075
0	0	0.354609929	0	0	7.80141844	0	0.354609929	0.354609929	0	0.709219858	12.41134752	0	4.255319149	1.773049645	0	1.063829787	1.418439716	2.836879433	19.85815603	0	13.4751773	0	0.709219858	1.063829787	0	1.063829787	0.709219858	26.95035461
0	0	0	0	0	12.84046693	0	0.778210117	0.778210117	0	0.389105058	12.45136187	0	5.058365759	1.556420233	0	1.167315175	0	1.556420233	22.95719844	0	12.45136187	0	0.389105058	0	0	1.556420233	1.167315175	24.12451362
0	0.836820084	0	0.836820084	0.836820084	10.87866109	0.418410042	0.836820084	0	0	0.418410042	11.71548117	0	4.60251046	0.836820084	0	2.092050209	1.255230126	1.255230126	28.45188285	0	10.46025105	0	0	0.836820084	0	0.836820084	0	21.33891213
0	0	0	0	0	11.16071429	0	0	0	0.446428571	0.892857143	12.05357143	0	1.339285714	0.892857143	0	1.785714286	0.892857143	5.357142857	20.08928571	0	12.5	0	0	2.232142857	0	1.785714286	3.571428571	20.53571429
0	0	0	0.778210117	0.389105058	14.0077821	0	1.167315175	0.389105058	0	2.33463035	14.78599222	0	2.33463035	1.945525292	0	1.945525292	1.167315175	5.058365759	24.90272374	0	13.61867704	0.389105058	0.389105058	0.389105058	0	1.167315175	0	10.11673152
0	0	0	0.709219858	0	15.95744681	0.354609929	0.354609929	0.354609929	0.709219858	0	16.31205674	0	2.482269504	1.418439716	0	2.482269504	1.063829787	1.418439716	21.27659574	0	8.865248227	0	1.063829787	0	0	1.773049645	1.773049645	18.43971631
0	0	0	1.498127341	0	23.59550562	0	0.374531835	0.374531835	0	0.74906367	22.47191011	0	1.872659176	2.621722846	0	2.621722846	1.123595506	1.123595506	14.23220974	0	7.865168539	0.374531835	0	0.74906367	0	1.498127341	0.374531835	14.23220974
0	0	0.735294118	4.779411765	0.367647059	23.89705882	0	0	0	0.367647059	4.779411765	16.54411765	0	0.367647059	0.367647059	0	2.941176471	1.102941176	3.676470588	8.455882353	0	9.558823529	0.367647059	1.470588235	0.367647059	0.367647059	0.735294118	2.205882353	14.70588235
0	0	0	4.895104895	0.699300699	30.76923077	0	0.34965035	0.34965035	0	1.398601399	8.041958042	0	0.34965035	1.748251748	0	1.398601399	4.545454545	4.195804196	4.545454545	0	10.48951049	0.34965035	2.097902098	0	0	0	1.398601399	19.93006993
0	0	0	3.886925795	1.413427562	17.31448763	0	0	0.706713781	0.706713781	1.060070671	3.533568905	0	0.706713781	0.35335689	0	1.060070671	0.35335689	4.240282686	1.766784452	0	20.84805654	1.060070671	0	0	0.35335689	0.35335689	0	37.45583039
0	0	0.347222222	1.736111111	0.347222222	20.48611111	0	0	0.694444444	0	1.041666667	2.083333333	0	0.347222222	0.347222222	0	1.041666667	3.472222222	3.819444444	6.25	0	21.875	0.694444444	0.347222222	0	0	0	0	31.25
0	0	0	3.125	1.041666667	23.61111111	0	0.347222222	0	0	0.347222222	4.513888889	0	1.041666667	0.347222222	0	0.347222222	0.347222222	3.125	4.513888889	0	19.44444444	0	1.736111111	0	0	0.694444444	0.347222222	32.63888889
0	0	0	2.127659574	0	24.11347518	0	0.354609929	0.709219858	0.354609929	0.354609929	5.673758865	0	0.354609929	0.354609929	0	0.354609929	1.063829787	3.546099291	4.964539007	0	16.31205674	0	0.354609929	0	0.354609929	0.709219858	0	34.39716312
0	0	0.689655172	1.724137931	0.344827586	24.48275862	0	0	0	0	1.724137931	7.24137931	0	0	0	0	0.344827586	0.689655172	1.034482759	3.793103448	0	12.06896552	0	1.034482759	0	0.689655172	0	0	36.20689655
0	0	0	0.347222222	0	12.5	0	0	0	0	1.736111111	15.625	0	0	0.694444444	0	0.694444444	1.388888889	2.777777778	6.944444444	0	18.05555556	0	0.347222222	0	0.347222222	0	0.347222222	36.80555556
0	0	0	1.063829787	0.354609929	15.60283688	0	0	0	0	1.063829787	6.737588652	0	0	0	0	1.418439716	0.709219858	2.127659574	8.510638298	0	18.08510638	0.709219858	0.709219858	0	0.354609929	0	0	40.07092199
0	0	1.403508772	0.350877193	0.701754386	21.05263158	0	0	0	0.350877193	1.052631579	2.456140351	0	0.350877193	0.350877193	0	1.052631579	0	1.754385965	11.92982456	0	23.50877193	0	0.350877193	0.350877193	0	0	0	28.42105263
0	0	1.067615658	1.423487544	0.355871886	27.04626335	0	0.355871886	0	0	1.423487544	0.711743772	0	1.779359431	0.355871886	0	1.423487544	1.067615658	3.202846975	6.761565836	0	25.26690391	0	1.423487544	0	0.711743772	0	0	23.84341637
